Name,Keywords,Definiton,Alternate Names
Arthrogryposis,"shortness of breath,hyperkalemia,orthopnea,rale,urgency of micturition,ascites,guaiac positive,asthenia,apyrexial,mental status changes,dyspnea,difficulty,diarrhea,hypotension,breath sounds decreased,swelling,hypokinesia","Renal insufficiency is poor function of the kidneys that may be due to a reduction in blood-flow to the kidneys caused by renal artery disease. Normally, the kidneys regulate body fluid and blood pressure, as well as regulate blood chemistry and remove organic waste. Proper kidney function may be disrupted, however, when the arteries that provide the kidneys with blood become narrowed, a condition called renal artery stenosis. Some patients with renal insufficiency experience no symptoms or only mild symptoms. Others develop dangerously high blood pressure, poor kidney function, or kidney failure that requires dialysis.",insufficiency renal Renal Dysfunction
Aspiration Pneumonia,"mediastinal shift,fever,clonus,mental status changes,decreased translucency,unresponsiveness,extreme exhaustion,stupor,seizure,transaminitis,hemiplegia,cough,gurgle,pain,diarrhea,pain abdominal",A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has symptom tachypnea and has symptom cough.,
asthma,"wheezing,cough,shortness of breath,chest tightness,non-productive cough,pleuritic pain,productive cough,symptom aggravating factors,distress respiratory","Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are allergic to or find irritating. When your airways react, they get narrower and your lungs get less air. Symptoms of asthma include Wheezing Coughing, especially early in the morning or at night Chest tightness Shortness of breath Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests. When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal. Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms. NIH: National Heart, Lung, and Blood Institute",
bacterial sepsis,"fever,chill,flushing,unresponsiveness,indifferent mood,urinoma,vomiting,distended abdomen,hypoalbuminemia,pustule,prostatism,diarrhea,abdominal tenderness,pleuritic pain,decreased translucency,pallor","Bacteremia 2, also known as bacteremia, susceptibility to, 2, is related to neisseria meningitidis infection and infective endocarditis. An important gene associated with Bacteremia 2 is CISH (Cytokine Inducible SH2 Containing Protein), and among its related pathways/superpathways is Innate Immune System. The drugs Tigecycline and Teicoplanin have been mentioned in the context of this disorder. Affiliated tissues include skin, testes and colon, and related phenotype is homeostasis/metabolism. An important gene associated with Bacteremia 1 is TIRAP (TIR Domain Containing Adaptor Protein). Affiliated tissues include heart, liver and lung. A bacterial infectious disease has material basis in Bacteria.' bacteria bacterium bacteremia",bacteremia bacterial infectious disease  bacteria
bipolar disorder,"feeling suicidal,energy increased,suicidal,irritable mood,agitation,has religious belief,disturbed family,hallucinations auditory,verbal auditory hallucinations,weepiness,behavior hyperactive,catatonia,feeling hopeless,worry,sleeplessness,hypersomnia,difficulty,hallucinations visual,hyperhidrosis disorder,mydriasis,extrapyramidal sign,loose associations,intoxication,motor retardation,homelessness,blackout,tremor,exhaustion","Bipolar disorder, previously known as manic depressive illness, is a severe chronic mood disorder, characterized by the recurrence of mania (hypomania), depression, or mixed episodes. While mood elevation and euphoria are commonly described phenotypic descriptors of mania, irritability and angerAlthough bipolar disorder is one of the most heritable psychiatric disorders, a multifactorial model in which gene and environment interact is currently thought to best fit this disorder.",
Blood Coagulation ,"hypokinesia,anorexia,hypertonicity,shortness of breath,hypoalbuminemia,pruritus,sore to touch,hemodynamically stable,facial paresis,vomiting,stool color yellow","A thrombus is a blood clot in the circulatory system. It attaches to the site at which it formed and remains there, hindering blood flow.A blood clot is usually a normal physical response to injury.

It quickly forms a plug that can reduce or prevent bleeding. However, a thrombus can cause severe health problems, as it interrupts the function of a blood vessel.

A section of a blood clot that breaks free from the thrombus and circulates in the bloodstream is called an embolus.

An embolus moves through the vascular system until it lodges in a different part of the body.

An embolus is a dangerous and potentially fatal complication of thrombosis. It is especially dangerous if it reaches the heart, lungs, or brain (embolism).
Clotting occurs due to a series of chemical reactions between blood cells known as platelets and proteins called clotting factors.

When a person is in good health, the body regulates the clotting process according to its needs.

However, a clot can form more easily when a person:uses tobacco
has high cholesterol
has obesity or is overweight
has cancer
has diabetes
is stressed
has an inactive lifestyle
",Thrombus
breast cancer,"mass in breast,mass of body structure,paresthesia,retropulsion,erythema,difficulty,lesion,estrogen use,burning sensation,dyspnea,swelling,formication","Breast cancer is cancer that develops from breast tissue. Signs of breast cancer may include a lump in the breast, a change in breast shape, dimpling of the skin, fluid coming from the nipple, a newly-inverted nipple, or a red or scaly patch of skin",carcinoma breast malignant neoplasm of breast
Bronchial Disease,"shortness of breath,scar tissue,apyrexial,no known drug allergies,pain,productive cough,throat sore,dyspnea,chest tightness,hypoxemia,tachypnea,sensory discomfort,fever,vomiting,rhonchus,hemiplegia,fremitus","Bronchospasm or a bronchial spasm is a sudden constriction of the muscles in the walls of the bronchioles. It is caused by the release (degranulation) of substances from mast cells or basophils under the influence of anaphylatoxins. It causes difficulty in breathing which ranges from mild to severe. Bronchial spasms occur when your bronchial tubes become inflamed. This inflammation may be caused by asthma, bronchitis, emphysema, or other serious respiratory problems.",spasm bronchial
bronchitis,"cough,wheezing,shortness of breath,chest tightness,fever,throat sore,productive cough,hepatosplenomegaly,night sweat,haemoptysis,labored breathing,snuffle,hacking cough,dyspnea,chill,stridor,decreased body weight","Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact.Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute",
cancer,"pulsus paradoxus,gravida 10,mass of body structure,lesion,heartburn,night sweat,thicken,chill,decreased translucency,pain abdominal,dullness,food intolerance,distress respiratory,hypotension,pain,mass of body structure,lesion,cushingoid facies,cushingoid habitus,emphysematous change,decreased body weight,ascites,hoarseness,thicken,hematuria","Tongue Cancer, also known as tongue carcinoma, is related to tonsil cancer and oropharynx cancer, and has symptoms including glossalgia An important gene associated with Tongue Cancer is MALAT1 (Metastasis Associated Lung Adenocarcinoma Transcript 1), and among its related pathways/superpathways are ERK Signaling and GPCR Pathway. The drugs Nicotine and Fentanyl have been mentioned in the context of this disorder. Affiliated tissues include tongue, lymph node and tonsil, and related phenotypes are cardiovascular system and homeostasis/metabolism",primary malignant neoplasms
candidiasis,"diarrhea,throat sore,decreased body weight,chill,headache,abdominal tenderness,patient non compliance,photophobia,night sweat,painful swallowing,poor dentition,transaminitis,non-productive cough,adverse reaction,adverse effect,abdominal bloating","nvasive candidiasis is an infection caused by a yeast (a type of fungus) called Candida. Unlike Candida infections in the mouth and throat (also called ""thrush"") or vaginal ""yeast infections,"" which are localized to one part of the body, invasive candidiasis is a serious infection that can affect the blood, heart, brain, eyes, bones, or other parts of the body.1 Candida normally lives inside the body (in places such as the mouth, throat, gut, and vagina) and on the skin without causing any problems.",oralcandidiasis
carcinoma,"mass of body structure,pain,lesion,tumor cell invasion,thicken,decreased body weight,hoarseness,general discomfort,metastatic lesion,non-productive cough,constipation,unhappy,paresthesia,gravida 0,diarrhea,sore to touch,heartburn,nausea,lung nodule","Malignant tumors are subclassified into common or conventional renal cell carcinoma (clear cell); papillary renal cell carcinoma; chromophobe renal cell carcinoma; collecting duct carcinoma, with medullary carcinoma of the kidney; and unclassified renal cell carcinoma A renal carcinoma that has material basis in the lining of the proximal convoluted renal tubule of the kidney.",
carcinoma of lung,"lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood","malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung,This growth can spread beyond the lung by the process of metastasis into nearby tissue or other parts of the body",malignant neoplasm of lung
cardiomyopathy,"shortness of breath,orthopnea,hypokinesia,jugular venous distention,palpitation,pain chest,syncope,yellow sputum,rale,dyspnea,dyspnea on exertion,left atrial hypertrophy,fatigue,weight gain,patient non compliance",cardiomyopathy (DCM) is a heart muscle disease characterised by dilation and impaired contraction of the left or both ventricles that results in progressive heart failure and sudden cardiac death from ventricular arrhythmia.An intrinsic cardiomyopathy that is characterized by an an enlarged heart and damage to the myocardium causing the heart to pump blood inefficiently.,
cellulitis,"erythema,pain,swelling,redness,fever,abscess bacterial,patient non compliance,hypesthesia,hyperacusis,pruritus,pain chest,scratch marks,chill,sore to touch","Cellulitis is an infection of the skin and deep underlying tissues. Group A strep (streptococcal) bacteria are the most common cause. The bacteria enter your body when you get an injury such as a bruise, burn, surgical cut, or wound. Symptoms include Fever and chills Swollen glands or lymph nodes A rash with painful, red, tender skin. The skin may blister and scab over. Your health care provider may take a sample or culture from your skin or do a blood test to identify the bacteria causing infection. Treatment is with antibiotics. They may be oral in mild cases, or intravenous (by IV) for more severe cases.",
cholecystitis,"moan,nausea,pain abdominal,Murphy's sign,flatulence,colic abdominal,pain,ascites,diarrhea,qt interval prolonged,cardiovascular finding,cardiovascular event,groggy,sinus rhythm,gasping for breath,constipation,feces in rectum,abnormally hard consistency","A cholangitis that is characterized by an inflammation that is located in the gallbladder.is inflammation of the gallbladder. Symptoms include right upper abdominal pain, nausea",
cholelithiasis,"vomiting,nausea,pain abdominal,pain,cushingoid facies,cushingoid habitus,ascites,thicken,sore to touch,diarrhea,apyrexial,palpitation","Cholelithiasis is related to cholecystolithiasis and gallbladder disease 4. An important gene associated with Cholelithiasis is ABCB4 (ATP Binding Cassette Subfamily B Member 4), and among its related pathways/superpathways are Metabolism and Lipoprotein metabolism. The drugs Dopamine and Gabapentin have been mentioned in the context of this disorder. Affiliated tissues include liver, pancreas and colon, and related phenotypes are digestive/alimentary and endocrine/exocrine gland",biliary calculus
chronic kidney,"vomiting,orthopnea,hyperkalemia,oliguria,jugular venous distention,nausea,shortness of breath,mental status changes,diarrhea,asthenia,chest tightness,malaise,chill,rale,fever,pleuritic pain,apyrexial,guaiac positive,swelling,catatonia,unresponsiveness,yellow sputum",means that your kidneys are damaged and can't filter blood as they should. This damage can cause wastes to build up in your body. It can also cause other problems that can harm your health. Diabetes and high blood pressure are the most common causes of CKD. The kidney damage occurs slowly over many years. Many people don't have any symptoms until their kidney disease is very advanced. Blood and urine tests are the only way to know if you have kidney disease.You will need dialysis or a kidney transplantation,chronic kidney failure
chronic obstructive pulmonary disease,"shortness of breath,wheezing,cough,dyspnea,distress respiratory,sputum purulent,hypoxemia,hypercapnia,patient non compliance,chest tightness,orthopnea,fatigue,dyspnea on exertion,dyspnea,shortness of breath,pansystolic murmur,jugular venous distention,systolic ejection murmur,hypotension,angina pectoris,hypokinesia",obstructive lung disease characterized by long-term breathing problems and poor airflow. The main symptoms include shortness of breath and cough with sputum production,chronic obstructive airway disease
cirrhosis,"ascites,fall,splenomegaly,pruritus,pain abdominal,tumor cell invasion,distended abdomen,lesion,hemodynamically stable,guaiac positive,sore to touch,bleeding of vagina","Cirrhosis is scarring of the liver. Scar tissue forms because of injury or long-term disease. Scar tissue cannot do what healthy liver tissue does - make protein, help fight infections, clean the blood, help digest food and store energy. High blood pressure in the vein entering the liver Enlarged veins called varices in the esophagus and stomach. Varices can bleed suddenly. Kidney failure Jaundice Severe itching Gallstones A small number of people with cirrhosis get liver cancer. Your doctor will diagnose cirrhosis with blood tests, imaging tests, or a biopsy.",
colitis,"fever,thicken,green sputum,vomiting,nausea and vomiting,awakening early,pain,nausea,chill,tenesmus,urge incontinence,pain abdominal,hemodynamically stable","An inflammatory bowel disease that involves inflammation located in colon.Colitis is related to crohn's colitis and inflammatory bowel disease 25, autosomal recessive. An important gene associated with Colitis is NOD2 (Nucleotide Binding Oligomerization Domain Containing 2), and among its related pathways/superpathways are Innate Immune System and ERK Signaling. Colitis is an inflammation of the colon.",
colon cancer,"lesion,prostatism,constipation,general discomfort,diarrhea,pain abdominal,urinary hesitation,dizzy spells,shooting pain,bradycardia,vomiting,systolic ejection murmur,nausea,hyperemesis,polydypsia","colorectal cancer or polyps,Inflammatory intestinal conditions,metastasis,Radiation therapy for cancer,Escherichia coli and Bacteroides fragilis",malignant tumor of colon  carcinoma of  colon
confusion,"seizure,enuresis,lethargy,speech slurred,fall,consciousness clear,mental status changes,asterixis,unconscious state,agitation,muscle twitch,asthenia,sleepy,dizziness,headache,dysarthria,lightheadedness,tremor,hyponatremia,unresponsiveness","alcohol or drug abuse,carbon monoxide poisoning,diabetes,medications,pain,parkinson's disease,seizures,strokes", confusion psychological neurological
congestive heart failure,"shortness of breath,orthopnea,jugular venous distention,rale,dyspnea,cough,wheezing,orthopnea,fatigue,dyspnea on exertion,dyspnea,shortness of breath,pansystolic murmur,jugular venous distention,systolic ejection murmur,hypotension,angina pectoris,hypokinesia","A heart disease that is characterized by any structural or functional cardiac disorder that impairs the ability of the heart to fill with or pump a sufficient amount of blood throughout the body.has symptoms including tremor, angina pectoris and edema",
coronary heart disease,"pain chest,angina pectoris,shortness of breath,hypokinesia,sweat,sweating increased,pressure chest,dyspnea on exertion,orthopnea,chest tightness","Coronary heart disease is the term that describes what happens when your heart's blood supply is blocked or interrupted by a build-up of fatty substances in the coronary arteries.atherosclerosis, atheroma, smoking,high cholestrol,diabetes",coronary arteriosclerosis
decubitus ulcer,"systolic murmur,frail,fever","Pressure sores are areas of damaged skin caused by staying in one position for too long. They commonly form where your bones are close to your skin, such as your ankles, back, elbows, heels and hips. You are at risk if you are bedridden, use a wheelchair, or are unable to change your position. Pressure sores can cause serious infections, some of which are life-threatening. They can be a problem for people in nursing homes.",
dehydration,"fever,diarrhea,vomiting,hypotension,nausea,lightheadedness,unwell,mental status changes,anorexia,asthenia,sensory discomfort,syncope,lethargy,dizziness,syncope,blackout,history of - blackout","persistent vomiting and diarrhoea, or sweating from a fever,diabetes,alcoholism, Frequent urination,burns,sweating,seizures,kidney problems,bacterium Vibrio cholera",dehydration polycythemia
delirium,"unsteady gait,withdraw,hyponatremia,verbally abusive behavior,feeling suicidal,unresponsiveness,worry,drowsiness,sleepy,hallucinations auditory,suicidal,fever,diarrhea","Subacute Delirium, also known as delirium, is related to reye syndrome and alcohol use disorder, and has symptoms including seizures, ataxia and tremor. An important gene associated with Subacute Delirium is APOH (Apolipoprotein H). The drugs Cisatracurium and Parecoxib have been mentioned in the context of this disorder. Affiliated tissues include brain, testes and heart.",
delusion,"loose associations,giddy mood,feeling hopeless,agitation,hallucinations auditory,irritable mood,sleeplessness,neologism,homicidal thoughts,disturbed family,worry,decompensation,verbally abusive behavior,catatonia,suicidal,terrify,blackout,weepiness,impaired cognition,irritable mood,agitation","A psychotic disorder that involves an uncommon psychiatric condition in which patients present with circumscribed symptoms of non-bizarre delusions, but with the absence of prominent hallucinations and no thought disorder, mood disorder, or significant flattening effect. Delusional Disorder is related to schizoaffective disorder and personality disorder",
dementia,"fever,fall,unresponsiveness,lethargy,agitation,ecchymosis,syncope,rale,unconscious state,cough,bedridden,bedridden,pain,facial paresis,abdominal tenderness,rhonchus,unsteady gait,hallucinations auditory","Dementia is a loss of mental functions that is severe enough to affect your daily life and activities. These functions include Memory Language skills Visual perception (your ability to make sense of what you see) Problem solving Trouble with everyday tasks The ability to focus and pay attention It is normal to become a bit more forgetful as you age. Dementia also causes problems with the ability to think, problem solve, and reason. Lewy bodies are abnormal deposits of a protein in the brain.",
dependence,"intoxication,tremor,agitation,suicidal,homelessness,prostatism,lethargy,seizure,muscle twitch,stuffy nose,feeling hopeless,heavy legs,rale","dependence (AD) is a chronic but often disease that includes problems in controlling one's drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect (physical dependence), or having withdrawal symptoms when one rapidly decreases or stops drinking.",
Depression,"hallucinations auditory,sleeplessness,suicidal,motor retardation,weepiness,unable to concentrate,todd paralysis,worry,fatigue,tremor,alcoholic withdrawal symptoms,agitation,unresponsiveness,blackout,withdraw,difficulty,irritable mood,sensory discomfort,drowsiness,formication,unconscious state,fever,cough","Feel hopeless, worthless, agitated, socially isolated or lonely,alcohol and drug abuse,psychiatric disorder,post-traumatic stress disorder or bipolar disorder,chronic disease,chronic pain or terminal illness,psychiatric disorder",
depressive disorder,"feeling suicidal,suicidal,hallucinations auditory,feeling hopeless,weepiness,sleeplessness,motor retardation,irritable mood,blackout,mood depressed,hallucinations visual,worry,agitation,tremor,intoxication,verbal auditory hallucinations,energy increased,difficulty,nightmare,unable to concentrate,homelessness","neurotransmitters, Hormone changes,pregnancy,postpartum,thyroid problems,menopause,bipolar disorder,depression,high blood pressure,medication",depression mental
diabetes,"polyuria,polydypsia,shortness of breath,pain chest,asthenia,nausea,orthopnea,rale,sweat,sweating increased,unresponsiveness,mental status changes,vertigo,vomiting,labored breathing","diabetes is a disorder characterized by abnormally high blood sugar levels.the pancreas releases insulin to move the excess glucose into cells, which reduces the amount of glucose in the blood.disorder are caused by high blood sugar and may include frequent urination (polyuria), excessive thirst (polydipsia), fatigue, blurred vision, tingling or loss of feeling in the hands and feet, and weight loss.",
diabetic ketoacidosis,"polyuria,vomiting,nausea,pain abdominal,milky,feeling strange,gurgle,nervousness,abdominal tenderness,regurgitates after swallowing,vision blurred,urinary hesitation,diarrhea,seizure,aura","diabetic ketoacidosis, is related to diabetes mellitus, insulin-dependent and monocarboxylate transporter 1 deficiency, and has symptoms including polydipsia and polyuria. An important gene associated with Diabetes Mellitus, Ketosis-Prone is PAX4 (Paired Box 4), and among its related pathways/superpathways are Glucose / Energy Metabolism and Butanoate metabolism. The drugs Metformin and Canagliflozin have been mentioned in the context of this disorder. Affiliated tissues include brain, testes and kidney, and related phenotypes are diabetes mellitus and autoimmunity",
diverticulitis,"pain abdominal,abscess bacterial,dullness,red blotches,diarrhea,sore to touch,dysuria,pain,vomiting,sinus rhythm,colic abdominal,apyrexial,abdominal tenderness,fever,unsteady gait,thicken,urgency of micturition,anorexia,monoclonal,constipation",An intestinal disease characterized by the formation and inflammation of diverticula within the bowel wall.include lower abdominal pain of sudden onset.There may also be nausea; and diarrhea or constipation. Fever or blood in the stool suggests a complication. Repeated attacks may occur.,
diverticulosis,"fecaluria,constipation,abscess bacterial,heme positive,lightheadedness,diarrhea,haemorrhage,pain,projectile vomiting,pneumatouria,cystic lesion,anorexia,nausea,feeling suicidal,feeling hopeless","The inner layer of your intestine pushes through weak spots in the outer lining. This pressure makes them bulge out, making little pouches. Most often it happens in your colon, the lower part of your large intestine.This can cause severe pain in your belly.Some think muscle spasms or strain (like when you have a bowel movement) make pressure build in your colon and push against the lining. The inner layer of your intestine pushes through weak spots in the outer lining. This pressure makes them bulge out, making little pouches. Most often it happens in your colon, the lower part of your large intestine.",hemorrhage small intestine stomach disease esophageal
Dysphagia,"paresthesia,titubation,dysarthria,painful swallowing,hoarseness,stridor,spasm,asthenia,dysdiadochokinesia,ataxia,achalasia,decreased body weight,stiffness,lesion,side pain","Having trouble swallowing (dysphagia) is a symptom that accompanies a number of neurological disorders. The problem can occur at any stage of the normal swallowing process as food and liquid move from the mouth, down the back of the throat, through the esophagus and into the stomach. Difficulties can range from a total inability to swallow, to coughing or choking because the food or liquid is entering the windpipe, which is referred to as aspiration. When aspiration is frequent a person can be at risk of developing pneumonia. Food may get ""stuck"" in the throat or individuals may drool because they cannot swallow their saliva. Neurological conditions that can cause swallowing difficulties are: stroke (the most common cause of dysphagia); traumatic brain injury; cerebral palsy; Parkinson disease and other degenerative neurological disorders such as amyotrophic lateral sclerosis (ALS, also known as Lou Gehrig's disease), multiple sclerosis, progressive supranuclear palsy, Huntington disease, and myasthenia gravis. Muscular dystrophy and myotonic dystrophy are accompanied by dysphagia, which is also the cardinal symptom of oculopharyngeal muscular dystrophy, a rare, progressive genetic disorder.is related to muscular disease and myopathy, areflexia, respiratory distress, and dysphagia, early-onset, and has symptoms including seizures, nausea and vomiting and constipation.",deglutition disorder
dyspnea,"orthopnea,shortness of breath,dyspnea on exertion,jugular venous distention,rale,pain chest,palpitation,sweat,sweating increased,weight gain,cough,dyspnea","Paroxysmal nocturnal dyspnea or paroxysmal nocturnal dyspnoea (PND) refers to attacks of severe shortness of breath and coughing that generally occur at night.[1] It usually awakens the person from sleep, and may be quite frightening.[2] Though simple orthopnea may be relieved by sitting upright at the side of the bed with legs dangling,[3] in those with PND, coughing and wheezing often persist in this position.",paroxysmal
encephalopathy,"uncoordination,asterixis,haemorrhage,drowsiness,sleepy,absences finding,posturing,aura,tonic seizures,debilitation,consciousness clear,unresponsiveness,thicken,hypokinesia","It affects newborn infants and usually results in severe mental and physical handicap. Their jittery behavior and poor feeding ability mimic congenital viral infection. Symptomsirritability, inconsolable crying, intermittent fever, seizures, and loss of developmental skills.",
